Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,TIC 0.8M numax (muHz),TIC 1.2M numax (muHz),TIC 2.4M numax (muHz)
GJ 412A,BD+44 2051,252803603,21,,,11 05 28.5779,+43 31 36.391,M1.0Ve,,5.001999855041504,4.769000053405762,0.764,0.017,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
GJ 436,Ross 905,138819293,22,,,11 42 11.0933,+26 42 23.658,M3V,10.61299991607666,6.318999767303467,6.072999954223633,0.41700000000000004,0.013000000000000001,"K. von Braun, et al., The Astrophysical Journal, 753, 171 (2012).",CLASSIC,False,,,
GJ 514,BD+11 2576,404519959,23,,,13 29 59.7856,+10 22 37.784,M1.0Ve,9.029000282287598,5.300000190734863,5.035999774932861,0.753,0.052000000000000005,Berger et al. 2006,CLASSIC,False,,,
GJ 649,BD+25 3173,236743275,25,,,16 58 08.8497,+25 44 38.971,M2V,9.654999732971191,5.864999771118164,5.624000072479248,0.484,0.012,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,,,
GJ 687,BD+68 946,233193964,"14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26",,,17 36 25.8991,+68 20 20.904,M3.0V,,4.769999980926514,4.547999858856201,0.8590000000000001,0.013999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
GJ 687,BD+68 946,233193964,"14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26",,,17 36 25.8991,+68 20 20.904,M3.0V,,4.769999980926514,4.547999858856201,1.0090000000000001,0.077,Berger et al. 2006,CLASSIC,False,,,
GJ 876,BD-15 6290,188580272,"2, 29",,,22 53 16.7323,-14 15 49.303,M3.5V,10.192000389099121,5.348999977111816,5.010000228881836,0.746,0.009000000000000001,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,,,
GJ 876,BD-15 6290,188580272,29,,,22 53 16.7323,-14 15 49.303,M3.5V,10.192000389099121,5.348999977111816,5.010000228881836,0.746,0.009000000000000001,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,True,,,
HD 166,HD 166,238432056,17,,,00 06 36.7840,+29 01 17.410,G8,,4.629000186920166,4.314000129699707,0.624,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,3214.6991754553546,4822.048763183031,9644.097526366062
HD 203,HD 203,229012143,"2, 29",0.5830000042915344,1783.689,00 06 50.0865,-23 06 27.147,F3V,6.172999858856201,5.330999851226807,5.239999771118164,0.49200000000000005,0.032,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC,False,1010.9917754509969,1516.4876631764953,3032.9753263529906
HD 1326,V* GX And,440109725,17,,,00 18 22.8849,+44 01 22.637,M2V,,4.47599983215332,4.019999980926514,1.005,0.005,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
HD 1326,V* GX And,440109725,17,,,00 18 22.8849,+44 01 22.637,M2V,,4.47599983215332,4.019999980926514,0.988,0.016,Berger et al. 2006,CLASSIC,False,,,
HD 1326,V* GX And,440109725,17,,,00 18 22.8849,+44 01 22.637,M2V,,4.47599983215332,4.019999980926514,1.005,0.005,"A.W. Howard, et al., The Astrophysical Journal, 794, 51 (2014).",CLASSIC,False,,,
HD 1461,HD 1461,37748347,3,,,00 18 41.8673,-08 03 10.805,G3VFe0.5,6.460000038146973,5.040999889373779,4.896999835968018,0.498,0.011000000000000001,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,1952.2149877650825,2928.322481647624,5856.644963295248
HD 1671,rho And,288294358,17,0.9620000123977661,426.098,00 21 07.2689,+37 58 06.972,F5IV-V,5.179999828338623,4.2179999351501465,4.068999767303467,0.6,0.006,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,229.9167964284613,344.87519464269195,689.7503892853839
HD 2774,HD 2774,202715253,17,,,00 31 41.1569,+52 50 22.297,K2III,5.5960001945495605,3.180000066757202,2.996999979019165,1.3030000000000002,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,14.507591265422056,21.761386898133082,43.522773796266165
HD 3360,zet Cas,240669906,17,,,00 36 58.2841,+53 53 48.867,B2IV,3.6600000858306885,4.248000144958496,4.247000217437744,0.311,0.01,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,,,
HD 3651,54 Psc,434210589,17,,,00 39 21.8055,+21 15 01.716,K0.5V,5.880000114440918,4.03000020980835,3.999000072479248,0.722,0.006999999999999999,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,3403.3124525550998,5104.96867883265,10209.9373576653
HD 3651,54 Psc,434210589,17,,,00 39 21.8055,+21 15 01.716,K0.5V,5.880000114440918,4.03000020980835,3.999000072479248,0.79,0.027000000000000003,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,3403.3124525550998,5104.96867883265,10209.9373576653
HD 4614,eta Cas,445258206,"17, 18, 24",1.0,2953.201,00 49 06.2907,+57 48 54.675,F9V+M0-V,3.440000057220459,2.0199999809265137,1.9900000095367432,1.6230000000000002,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,1996.1863891730854,2994.2795837596286,5988.559167519257
HD 4747,HD 4747,369395755,"3, 30",,,00 49 26.7612,-23 12 44.865,G8/K0V,7.15500020980835,5.433000087738037,5.304999828338623,0.39,0.006,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)\",PAVO,False,4014.6335459487977,6021.950318923197,12043.900637846395
HD 4747,HD 4747,369395755,30,,,00 49 26.7612,-23 12 44.865,G8/K0V,7.15500020980835,5.433000087738037,5.304999828338623,0.39,0.006,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)\",PAVO,True,4014.6335459487977,6021.950318923197,12043.900637846395
HD 5015,HD 5015,285544488,"17, 18, 24",1.0,1294.598,00 53 04.1958,+61 07 26.301,F9V,4.800000190734863,3.559999942779541,3.5399999618530273,0.865,0.01,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,848.4542740478632,1272.681411071795,2545.36282214359
HD 5448,mu. And,432698066,17,,,00 56 45.2121,+38 29 57.638,A6V,3.869999885559082,3.5,3.490000009536743,0.708,0.013000000000000001,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,,,
HD 6210,HD 6210,52264484,"18, 24",,,01 04 19.4507,+61 34 48.660,F6V,5.833000183105469,4.794000148773193,4.445000171661377,0.52,0.006,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,122.60700438310796,183.91050657466195,367.8210131493239
HD 6497,HD 6497,252183048,"17, 18",,,01 07 00.1744,+56 56 05.895,K2III-IV,6.401000022888184,3.992000102996826,3.88100004196167,0.731,0.044000000000000004,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,23.74914216034037,35.62371324051056,71.24742648102112
HD 6582,mu. Cas,252191219,"17, 18",,,01 08 16.3947,+54 55 13.226,G5Vb,5.170000076293945,3.5999999046325684,3.5,0.972,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,5574.762351002375,8362.143526503563,16724.287053007127
HD 6582,mu. Cas,252191219,"17, 18",,,01 08 16.3947,+54 55 13.226,G5Vb,5.170000076293945,3.5999999046325684,3.5,0.973,0.009000000000000001,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC,False,5574.762351002375,8362.143526503563,16724.287053007127
HD 7924,HD 7924,468723402,"18, 19",,,01 21 59.1132,+76 42 37.037,K0.5V,7.166999816894531,5.230999946594238,5.158999919891357,0.433,0.013999999999999999,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,4202.904746036989,6304.357119055483,12608.714238110966
HD 9826,ups And,189576919,17,1.0,1336.345,01 36 47.8421,+41 24 19.644,F9V,4.099999904632568,2.9570000171661377,2.859999895095825,1.161,0.027000000000000003,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,900.7726254800817,1351.1589382201228,2702.3178764402455
HD 9826,ups And,189576919,17,1.0,1336.345,01 36 47.8421,+41 24 19.644,F9V,4.099999904632568,2.9570000171661377,2.859999895095825,1.114,0.009000000000000001,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,900.7726254800817,1351.1589382201228,2702.3178764402455
HD 9826,ups And,189576919,17,1.0,1336.345,01 36 47.8421,+41 24 19.644,F9V,4.099999904632568,2.9570000171661377,2.859999895095825,1.18,0.01,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,900.7726254800817,1351.1589382201228,2702.3178764402455
HD 10476,107 Psc,113710966,17,,,01 42 29.7634,+20 16 06.660,K1V,5.239999771118164,3.390000104904175,3.25,1.0,0.004,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,3771.351073272415,5657.026609908622,11314.053219817244
HD 10697,109 Psc,456905162,17,0.9990000128746033,915.421,01 44 55.8251,+20 04 59.336,G3Va,6.2789998054504395,4.677999973297119,4.60099983215332,0.547,0.013000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,744.7450205706497,1117.1175308559746,2234.235061711949
HD 10697,109 Psc,456905162,17,0.9990000128746033,915.421,01 44 55.8251,+20 04 59.336,G3Va,6.2789998054504395,4.677999973297119,4.60099983215332,0.485,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,744.7450205706497,1117.1175308559746,2234.235061711949
HD 10700,tau Cet,419015728,"3, 30",,,01 44 04.0834,-15 56 14.926,G8V,3.5,1.7200000286102295,1.6799999475479126,2.015,0.011000000000000001,Di Folco et al. 2007,FLUOR,False,3719.4264742079085,5579.139711311863,11158.279422623726
HD 10700,tau Cet,419015728,30,,,01 44 04.0834,-15 56 14.926,G8V,3.5,1.7200000286102295,1.6799999475479126,2.015,0.011000000000000001,Di Folco et al. 2007,FLUOR,True,3719.4264742079085,5579.139711311863,11158.279422623726
HD 10780,HD 10780,373694425,"18, 24, 25",,,01 47 44.8336,+63 51 09.007,K0V,5.630000114440918,3.880000114440918,3.8399999141693115,0.763,0.019,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,3534.3411547960422,5301.511732194063,10603.023464388127
HD 10780,HD 10780,373694425,"18, 24, 25",,,01 47 44.8336,+63 51 09.007,K0V,5.630000114440918,3.880000114440918,3.8399999141693115,0.763,0.021,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC,False,3534.3411547960422,5301.511732194063,10603.023464388127
HD 11964,HD 11964,24978373,"3, 30",1.0,766.246,01 57 09.6073,-10 14 32.731,G9VCN+1,6.420000076293945,4.63700008392334,4.489999771118164,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,640.8778533532932,961.3167800299399,1922.6335600598798
HD 11964,HD 11964,24978373,"3, 30",1.0,766.246,01 57 09.6073,-10 14 32.731,G9VCN+1,6.420000076293945,4.63700008392334,4.489999771118164,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,640.8778533532932,961.3167800299399,1922.6335600598798
HD 11964,HD 11964,24978373,30,1.0,766.246,01 57 09.6073,-10 14 32.731,G9VCN+1,6.420000076293945,4.63700008392334,4.489999771118164,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,True,640.8778533532932,961.3167800299399,1922.6335600598798
HD 11964,HD 11964,24978373,30,1.0,766.246,01 57 09.6073,-10 14 32.731,G9VCN+1,6.420000076293945,4.63700008392334,4.489999771118164,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,True,640.8778533532932,961.3167800299399,1922.6335600598798
HD 13982,8 Per,264552400,18,,,02 17 59.8874,+57 53 59.352,K3III,5.748000144958496,3.203000068664551,2.884000062942505,1.169,0.032,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,10.443650495475795,15.665475743213692,31.330951486427384
HD 16765,84 Cet,35761475,"4, 31",0.48100000619888306,2231.017,02 41 13.9972,-00 41 44.384,F7V,5.710000038146973,4.642000198364258,4.50600004196167,0.49700000000000005,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,,,
HD 16765,84 Cet,35761475,31,0.48100000619888306,2231.017,02 41 13.9972,-00 41 44.384,F7V,5.710000038146973,4.642000198364258,4.50600004196167,0.49700000000000005,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,True,,,
HD 16895,tet Per,302158903,18,1.0,2057.354,02 44 11.9870,+49 13 42.411,F8V,4.110000133514404,3.069999933242798,2.7799999713897705,1.103,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,1367.551413607903,2051.3271204118546,4102.654240823709
HD 19373,iot Per,116988032,18,1.0,1658.789,03 09 04.0198,+49 36 47.799,G0V,,2.875,2.640000104904175,1.246,0.008,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,1228.3033388948602,1842.45500834229,3684.91001668458
HD 19467,HD 19467,441501782,"4, 31",,,03 07 18.5750,-13 45 42.419,G3V,7.0,5.447000026702881,5.401000022888184,0.376,0.013999999999999999,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO,False,1676.5207366524098,2514.7811049786146,5029.562209957229
HD 19467,HD 19467,441501782,31,,,03 07 18.5750,-13 45 42.419,G3V,7.0,5.447000026702881,5.401000022888184,0.376,0.013999999999999999,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO,True,1676.5207366524098,2514.7811049786146,5029.562209957229
HD 19994,94 Cet,49845357,"4, 31",1.0,1033.992,03 12 46.4369,-01 11 45.949,F8.5V,5.070000171661377,3.7699999809265137,3.75,0.7609999999999999,0.011000000000000001,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,749.0505662944313,1123.575849441647,2247.151698883294
HD 19994,94 Cet,49845357,"4, 31",1.0,1033.992,03 12 46.4369,-01 11 45.949,F8.5V,5.070000171661377,3.7699999809265137,3.75,0.7879999999999999,0.026000000000000002,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,749.0505662944313,1123.575849441647,2247.151698883294
HD 20367,HD 20367,101349357,18,,,03 17 40.0466,+31 07 37.358,F8V,6.39900016784668,5.117000102996826,5.039000034332275,0.408,0.109,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,1913.8987355092436,2870.848103263865,5741.69620652773
HD 20630,kap01 Cet,343813545,"4, 31",,,03 19 21.6963,+03 22 12.715,G5V,4.849999904632568,3.3499999046325684,3.3399999141693115,0.9359999999999999,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,2789.9399396088425,4184.909909413263,8369.819818826527
HD 20630,kap01 Cet,343813545,31,,,03 19 21.6963,+03 22 12.715,G5V,4.849999904632568,3.3499999046325684,3.3399999141693115,0.9359999999999999,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,True,2789.9399396088425,4184.909909413263,8369.819818826527
HD 21019,HD 21019,9967949,"4, 31",1.0,719.001,03 23 17.7006,-07 47 38.751,G5/6V,6.230000019073486,4.578999996185303,4.416999816894531,0.606,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,506.7751747972206,760.1627621958309,1520.3255243916617
HD 22049,eps Eri,118572803,"4, 31",,,03 32 55.8449,-09 27 29.731,K2V,3.7300000190734863,1.75,1.6699999570846558,2.126,0.013999999999999999,Di Folco et al. 2007,FLUOR,False,4641.902075264188,6962.853112896282,13925.706225792565
HD 22049,eps Eri,118572803,31,,,03 32 55.8449,-09 27 29.731,K2V,3.7300000190734863,1.75,1.6699999570846558,2.126,0.013999999999999999,Di Folco et al. 2007,FLUOR,True,4641.902075264188,6962.853112896282,13925.706225792565
HD 22484,10 Tau,649766486,31,1.0,1318.913,03 36 52.1448,+00 23 58.536,F9IV-V,4.300000190734863,3.009999990463257,2.9100000858306885,1.081,0.013999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,,,
HD 23596,HD 23596,201266092,18,0.4490000009536743,1234.114,03 48 00.3743,+40 31 50.300,F8,7.239999771118164,5.961999893188477,5.874000072479248,0.381,0.044000000000000004,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,978.9223225466467,1468.3834838199703,2936.7669676399405
HD 24398,zet Per,94367286,18,,,03 54 07.9224,+31 53 01.081,B1Ib,2.8499999046325684,2.6500000953674316,2.640000104904175,0.542,0.006999999999999999,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,,,
HD 24712,V* DO Eri,279485093,"5, 31",0.5460000038146973,1263.281,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,False,,,
HD 24712,V* DO Eri,279485093,31,0.5460000038146973,1263.281,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,True,,,
HD 25457,HD 25457,9150015,"5, 32",0.6010000109672546,2447.836,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,False,1593.35786429822,2390.03679644733,4780.07359289466
HD 25457,HD 25457,9150015,32,0.6010000109672546,2447.836,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,True,1593.35786429822,2390.03679644733,4780.07359289466
HD 26965,omi02 Eri,67772871,"5, 32",,,04 15 16.3197,-07 39 10.338,K0V,4.429999828338623,2.4800000190734863,2.4100000858306885,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,3697.348293754241,5546.022440631361,11092.044881262722
HD 26965,omi02 Eri,67772871,32,,,04 15 16.3197,-07 39 10.338,K0V,4.429999828338623,2.4800000190734863,2.4100000858306885,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,True,3697.348293754241,5546.022440631361,11092.044881262722
HD 29391,51 Eri,298810162,"5, 32",0.5429999828338623,1939.311,04 37 36.1323,-02 28 24.778,F0IV,5.209000110626221,4.769999980926514,4.5370001792907715,0.518,0.009000000000000001,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC,False,997.7377884903239,1496.606682735486,2993.213365470972
HD 30652,pi.03 Ori,399665349,"5, 32",1.0,1896.297,04 49 50.4109,+06 57 40.588,F6V,3.190000057220459,2.1500000953674316,2.049999952316284,1.526,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,1251.4522049104387,1877.1783073656582,3754.3566147313163
