Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,TIC 0.8M numax (muHz),TIC 1.2M numax (muHz),TIC 2.4M numax (muHz)
HD 145675,14 Her,219483057,"24, 25",,,16 10 24.3152,+43 49 03.498,K0V,,4.802999973297119,4.714000225067139,0.45899999999999996,0.017,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,2581.945755735174,3872.9186336027606,7745.837267205521
HD 148293,HD 148293,230080609,"14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,16 21 48.7120,+69 06 33.808,K2III,5.263999938964844,2.9579999446868896,2.7130000591278076,1.48,0.06,"E.K. Baines, et al., The Astrophysical Journal, 731, 132 (2011).",CLASSIC,False,16.924589325334047,25.38688398800107,50.77376797600214
HD 150010,HD 150010,233008631,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",,,16 31 28.2274,+72 36 44.410,K2III,6.303999900817871,3.4609999656677246,3.177000045776367,1.024,0.028999999999999998,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,8.865219736441599,13.297829604662398,26.595659209324797
HD 152812,HD 152812,115507350,"24, 25, 26",,,16 53 17.5445,+47 25 00.197,K2III,5.986999988555908,2.9709999561309814,2.565000057220459,1.44,0.004,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,2.152796825442268,3.2291952381634017,6.458390476326803
HD 153956,HD 153956,224598071,"15, 16, 17, 19, 20, 22, 23, 24, 25, 26",,,16 59 21.5189,+56 41 19.012,K1III:,6.040999889373779,3.572000026702881,3.2790000438690186,0.983,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,24.78463898584605,37.17695847876908,74.35391695753816
HD 154345,HD 154345,198562505,"24, 25, 26",,,17 02 36.4039,+47 04 54.762,G9,,5.0980000495910645,5.002999782562256,0.502,0.026000000000000002,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,3373.8098898253975,5060.714834738096,10121.429669476192
HD 154633,HD 154633,459978312,"14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26",,,17 02 15.7478,+64 36 02.664,G5V,6.093999862670898,3.8480000495910645,3.8929998874664307,0.804,0.012,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,33.13031376601324,49.695470649019846,99.39094129803969
HD 157214,w Her,9728611,"25, 26",0.3370000123977661,2696.407,17 20 39.5675,+32 28 03.877,G0V,5.389999866485596,3.9000000953674316,3.9100000858306885,0.725,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,1976.2263374462548,2964.3395061693827,5928.6790123387655
HD 157681,HD 157681,188694034,"17, 20, 23, 24, 26",,,17 21 45.3682,+53 25 13.546,K4III,5.677000045776367,2.3399999141693115,2.0409998893737793,1.9080000000000001,0.013000000000000001,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,1.3424652716807304,2.0136979075210957,4.027395815042191
HD 158633,HD 158633,219880402,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,17 25 00.0982,+67 18 24.150,K0,,4.63700008392334,4.514999866485596,0.573,0.01,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,4439.91018646629,6659.865279699435,13319.73055939887
HD 160290,y Her,321601892,"24, 25, 26",,,17 36 37.6544,+48 35 08.266,K1III,5.353000164031982,3.1600000858306885,2.875999927520752,1.515,0.01,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,10.483567221252684,15.725350831879028,31.450701663758057
HD 160762,iot Her,164319891,"25, 26",,,17 39 27.8860,+46 00 22.800,B3IV,3.799999952316284,4.348999977111816,4.228000164031982,0.31,0.01,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,,,
HD 161178,HD 161178,441797545,"14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26",,,17 37 08.8839,+72 27 20.858,G9III,5.86899995803833,3.7660000324249268,3.6570000648498535,0.9440000000000001,0.043,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,22.298624962325828,33.44793744348874,66.89587488697748
HD 162003,psi01 Dra A,441804568,"14, 15, 16, 17, 18, 19, 21, 22, 24, 25, 26",1.0,1067.908,17 41 56.0946,+72 08 55.903,F5IV-V,4.550000190734863,3.6480000019073486,3.502000093460083,0.9490000000000001,0.026000000000000002,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,525.626562021907,788.4398430328606,1576.8796860657212
HD 167042,HD 167042,353988778,"14, 15, 17, 18, 19, 21, 22, 24, 25, 26",,,18 10 31.6406,+54 17 11.593,K1III,,3.556999921798706,3.549999952316284,1.056,0.013999999999999999,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,141.71057439651148,212.56586159476726,425.1317231895345
HD 167042,HD 167042,353988778,"14, 15, 17, 18, 19, 21, 22, 24, 25, 26",,,18 10 31.6406,+54 17 11.593,K1III,,3.556999921798706,3.549999952316284,0.823,0.011000000000000001,White et al. 2018,PAVO,False,141.71057439651148,212.56586159476726,425.1317231895345
HD 168151,36 Dra,233121747,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",1.0,1486.385,18 13 53.8327,+64 23 50.225,F5V,4.986999988555908,4.059000015258789,3.944000005722046,0.713,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,874.7938646102735,1312.1907969154104,2624.3815938308207
HD 168151,36 Dra,233121747,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",1.0,1486.385,18 13 53.8327,+64 23 50.225,F5V,4.986999988555908,4.059000015258789,3.944000005722046,0.664,0.015,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,874.7938646102735,1312.1907969154104,2624.3815938308207
HD 170693,42 Dra,233721425,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,18 25 59.1383,+65 33 48.503,K1.5IIIFe-1,4.822999954223633,2.197000026702881,2.0850000381469727,2.097,0.009000000000000001,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,6.920145700667596,10.380218551001395,20.76043710200279
HD 170693,42 Dra,233721425,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,18 25 59.1383,+65 33 48.503,K1.5IIIFe-1,4.822999954223633,2.197000026702881,2.0850000381469727,2.041,0.043,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,6.920145700667596,10.380218551001395,20.76043710200279
HD 170693,42 Dra,233721425,"14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26",,,18 25 59.1383,+65 33 48.503,K1.5IIIFe-1,4.822999954223633,2.197000026702881,2.0850000381469727,2.12,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,6.920145700667596,10.380218551001395,20.76043710200279
HD 173416,HD 173416,157951225,26,,,18 43 36.1094,+36 33 23.781,G8,6.0370001792907715,3.928999900817871,3.813999891281128,0.995,0.034,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,16.468300665532244,24.702450998298367,49.404901996596735
HD 173667,110 Her,282038438,26,1.0,895.678,18 45 39.7257,+20 32 46.717,F5.5IV-V,4.190000057220459,3.2860000133514404,3.059999942779541,1.0,0.006,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,542.0591170603365,813.0886755905046,1626.1773511810093
HD 173701,HD 173701,123234496,"14, 26",,,18 44 35.1192,+43 49 59.789,G8V,7.519999980926514,5.750999927520752,5.670000076293945,0.332,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO,False,2803.3976946553644,4205.096541983047,8410.193083966094
HD 173739,HD 173739,359676790,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,18 42 46.7048,+59 37 49.411,M3V,,4.741000175476074,4.432000160217285,0.937,0.008,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
HD 173740,HD 173740,392572237,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,18 42 46.8942,+59 37 36.723,M3.5V,,5.197000026702881,5.0,0.851,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
HD 175823,HD 175823,236813492,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,,18 53 46.3093,+57 29 11.602,K5III:,6.23199987411499,3.7039999961853027,3.5739998817443848,0.988,0.023,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,6.997998159143336,10.496997238715002,20.993994477430004
HD 176408,48 Dra,376975340,"14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26",,,18 56 45.0374,+57 48 53.352,K1III,5.663000106811523,3.1710000038146973,2.996999979019165,1.125,0.023,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,21.325513002930133,31.9882695043952,63.9765390087904
HD 176437,gam Lyr,20780347,14,,,18 58 56.6224,+32 41 22.400,B9III,3.25,3.190000057220459,3.200000047683716,0.753,0.009000000000000001,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,,,
HD 176437,gam Lyr,20780347,14,,,18 58 56.6224,+32 41 22.400,B9III,3.25,3.190000057220459,3.200000047683716,0.7659999999999999,0.01,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,,,
HD 177153,HD 177153,120495825,"14, 26",,,19 01 39.6781,+41 29 24.325,G0,7.210000038146973,5.922999858856201,5.828999996185303,0.289,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO,False,1506.5541419595204,2259.8312129392802,4519.6624258785605
HD 181068,HD 181068,121945407,14,,,19 17 08.9783,+41 15 53.303,G8III+G8V+K1V,7.090000152587891,5.053999900817871,4.940999984741211,0.461,0.011000000000000001,"A. Derekas, et al., Science, 332, 316 (2011).",PAVO,False,17.85070022458685,26.77605033688027,53.55210067376054
HD 182736,HD 182736,159580128,15,1.0,459.514,19 24 03.3794,+44 56 00.735,G8IV,7.010000228881836,5.135000228881836,5.0279998779296875,0.436,0.005,"Huber et al. 2012, ApJ, 760, 32",PAVO,False,342.9075215571627,514.361282335744,1028.722564671488
HD 184171,8 Cyg,22463866,14,,,19 31 46.3218,+34 27 10.687,B3IV,4.71999979019165,5.0929999351501465,5.113999843597412,0.23399999999999999,0.011000000000000001,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,,,
HD 184293,HD 184293,26665833,"14, 15",,,19 31 19.3312,+50 18 24.139,K1III,5.539999961853027,2.8949999809265137,2.5209999084472656,1.548,0.022000000000000002,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,6.112430333555298,9.168645500332946,18.337291000665893
HD 185351,HD 185351,270858200,"14, 15",,,19 36 37.9763,+44 41 41.760,G8.5IIIbFe-0.5,5.169000148773193,3.1549999713897705,2.999000072479248,1.12,0.016,"J. Johnson, et al., The Astrophysical Journal, 794, 15 (2014).",CLASSIC,False,100.90151245397023,151.35226868095535,302.7045373619107
HD 185351,HD 185351,270858200,"14, 15",,,19 36 37.9763,+44 41 41.760,G8.5IIIbFe-0.5,5.169000148773193,3.1549999713897705,2.999000072479248,1.133,0.009000000000000001,"J. Johnson, et al., The Astrophysical Journal, 794, 15 (2014).",PAVO,False,100.90151245397023,151.35226868095535,302.7045373619107
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,19 36 26.5343,+50 13 15.964,F3+V,4.480000019073486,3.7200000286102295,3.5199999809265137,0.861,0.015,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,968.9805500377743,1453.4708250566616,2906.9416501133232
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,19 36 26.5343,+50 13 15.964,F3+V,4.480000019073486,3.7200000286102295,3.5199999809265137,0.7490000000000001,0.008,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,968.9805500377743,1453.4708250566616,2906.9416501133232
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,19 36 26.5343,+50 13 15.964,F3+V,4.480000019073486,3.7200000286102295,3.5199999809265137,0.753,0.009000000000000001,White et al. 2013,PAVO,False,968.9805500377743,1453.4708250566616,2906.9416501133232
HD 185395,tet Cyg,27014182,"14, 15",1.0,1713.701,19 36 26.5343,+50 13 15.964,F3+V,4.480000019073486,3.7200000286102295,3.5199999809265137,0.76,0.003,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,968.9805500377743,1453.4708250566616,2906.9416501133232
HD 186408,16 Cyg A,27533341,"14, 15",0.6940000057220459,2053.002,19 41 48.9539,+50 31 30.218,G1.5Vb,5.949999809265137,4.723999977111816,4.426000118255615,0.5539999999999999,0.011000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,1586.7579733387884,2380.1369600081825,4760.273920016365
HD 186408,16 Cyg A,27533341,"14, 15",0.6940000057220459,2053.002,19 41 48.9539,+50 31 30.218,G1.5Vb,5.949999809265137,4.723999977111816,4.426000118255615,0.539,0.006999999999999999,White et al. 2013,PAVO,False,1586.7579733387884,2380.1369600081825,4760.273920016365
HD 186427,16 Cyg B,27533327,"14, 15",0.6940000057220459,2053.002,19 41 51.9731,+50 31 03.086,G3V,6.199999809265137,4.699999809265137,4.651000022888184,0.513,0.012,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,1953.2425867424415,2929.8638801136617,5859.727760227323
HD 186427,16 Cyg B,27533327,"14, 15",0.6940000057220459,2053.002,19 41 51.9731,+50 31 03.086,G3V,6.199999809265137,4.699999809265137,4.651000022888184,0.49,0.006,White et al. 2013,PAVO,False,1953.2425867424415,2929.8638801136617,5859.727760227323
HD 186427,16 Cyg B,27533327,"14, 15",0.6940000057220459,2053.002,19 41 51.9731,+50 31 03.086,G3V,6.199999809265137,4.699999809265137,4.651000022888184,0.426,0.055999999999999994,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,1953.2425867424415,2929.8638801136617,5859.727760227323
HD 186815,HD 186815,293806873,"14, 16, 20",,,19 43 39.4965,+57 02 33.771,K2III,6.2820000648498535,4.322000026702881,4.316999912261963,0.731,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,75.37730806256668,113.06596209385002,226.13192418770004
HD 190228,HD 190228,117905020,14,1.0,545.1,20 03 00.7728,+28 18 24.684,G5IV,7.296000003814697,5.440999984741211,5.3520002365112305,0.45299999999999996,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,389.28555345300254,583.9283301795039,1167.8566603590077
HD 192781,HD 192781,236882599,"14, 15, 16, 17, 24",,,20 13 27.6168,+60 38 26.046,K5III,5.78000020980835,2.3610000610351562,2.128000020980835,1.859,0.003,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,2.046158737385316,3.0692381060779743,6.138476212155949
HD 199305,HD 199305,365670764,"15, 16, 17, 24",,,20 53 19.7890,+62 09 15.813,M1.0Ve,,4.919000148773193,4.618000030517578,0.722,0.008,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
HD 200205,HD 200205,421448572,"15, 16, 17",,,20 59 25.3838,+59 26 18.957,K4III,5.526000022888184,2.453000068664551,2.1470000743865967,2.032,0.045,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,1.5621817004889214,2.343272550733382,4.686545101466764
HD 201091,61 Cyg A,165602000,15,,,21 06 53.9396,+38 44 57.897,K5V,5.210000038146973,2.5,2.680000066757202,1.775,0.013000000000000001,"Kervella et al. 2008, A&A, 488, 667",FLUOR,False,5632.456821197747,8448.68523179662,16897.37046359324
HD 202850,sig Cyg,167407697,15,,,21 17 24.9524,+39 23 40.852,A0Ia,4.239999771118164,3.819999933242798,3.683000087738037,0.527,0.016,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,,,
HD 209369,16 Cep,366412503,"17, 18, 19, 24, 25",1.0,659.772,21 59 14.9658,+73 10 47.614,F5V,,4.0269999504089355,3.9600000381469727,0.621,0.018000000000000002,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,347.45604522783526,521.184067841753,1042.368135683506
HD 213558,alf Lac,468816607,"16, 17",,,22 31 17.5013,+50 16 56.968,A1V,3.7699999809265137,3.867000102996826,3.75,0.634,0.022000000000000002,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,,,
HD 214868,11 Lac,299208777,16,,,22 40 30.8588,+44 16 34.704,K2.5III,4.460000038146973,1.8170000314712524,1.4600000381469727,2.7310000000000003,0.024,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,3.5685529850815274,5.352829477622291,10.705658955244582
HD 216174,HD 216174,444179899,"16, 17, 24",,,22 49 46.3147,+55 54 09.990,K1III,5.439000129699707,2.921999931335449,2.625,1.598,0.012,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,6.510843851671665,9.766265777507497,19.532531555014994
HD 217675,omi And,155030422,16,,,23 01 55.2645,+42 19 33.533,B6IV/V_sh,3.619999885559082,3.809999942779541,3.8499999046325684,0.508,0.015,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,,,
HD 218029,HD 218029,427550855,"17, 18, 24",,,23 03 32.8827,+67 12 33.153,K3III,5.230000019073486,2.499000072479248,2.325000047683716,1.8619999999999999,0.044000000000000004,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,6.8301716398851555,10.245257459827734,20.490514919655467
HD 218560,HD 218560,435446525,"17, 18, 24",,,23 07 57.2046,+64 13 21.082,K0,6.211999893188477,3.822000026702881,3.6659998893737793,0.927,0.022000000000000002,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,2.8716754744753317,4.3075132117129975,8.615026423425995
HD 219080,7 And,252756054,"16, 17",0.5260000228881836,1432.665,23 12 33.0037,+49 24 22.345,F1V,4.519999980926514,3.759999990463257,3.7699999809265137,0.648,0.008,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,746.3811884263122,1119.5717826394682,2239.1435652789364
HD 219134,HD 219134,283722336,"17, 24",,,23 13 16.9747,+57 10 06.076,K3V,5.570000171661377,3.4000000953674316,3.25,1.1059999999999999,0.006999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,4787.263559289171,7180.895338933757,14361.790677867513
HD 219623,HD 219623,24467943,"16, 17",0.6980000138282776,2050.547,23 16 42.3028,+53 12 48.514,F8V,,4.598999977111816,4.306000232696533,0.542,0.016,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,1439.8465096488112,2159.7697644732166,4319.539528946433
HD 221345,14 And,333225860,"16, 17",,,23 31 17.4127,+39 14 10.310,G8III,,2.6080000400543213,2.3310000896453857,1.489,0.032,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,21.880523139824493,32.82078470973674,65.64156941947348
HD 221345,14 And,333225860,"16, 17",,,23 31 17.4127,+39 14 10.310,G8III,,2.6080000400543213,2.3310000896453857,1.3359999999999999,0.009000000000000001,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,21.880523139824493,32.82078470973674,65.64156941947348
HD 221345,14 And,333225860,"16, 17",,,23 31 17.4127,+39 14 10.310,G8III,,2.6080000400543213,2.3310000896453857,1.51,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,21.880523139824493,32.82078470973674,65.64156941947348
HD 222404,gam Cep,367912480,"18, 24, 25",,,23 39 20.9015,+77 37 56.505,K1III-IVCN1,,1.190000057220459,1.0379999876022339,3.302,0.028999999999999998,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,,,
